date,fii_net_cr,dii_net_cr
21-Jul-2026,1650.16,-656.88
22-Jul-2026,-819.20,-418.26
23-Jul-2026,-2999.23,2947.14
24-Jul-2026,-3892.77,5453.55
27-Jul-2026,-1688.23,2329.14
28-Jul-2026,755.33,1664.16
29-Jul-2026,2981.87,998.02
30-Jul-2026,3623.51,-1864.03
31-Jul-2026,277.48,2260.37
03-Aug-2026,922.26,1571.18
05-Aug-2026,-943.42,2883.17
06-Aug-2026,-17.86,4013.60
14-Aug-2026,508.12,356.40
17-Aug-2026,-2535.10,5101.46
18-Aug-2026,1651.53,2579.31
19-Aug-2026,407.99,3973.72
20-Aug-2026,-583.36,3537.71
21-Aug-2026,-542.71,2124.14
